CHAVE FINAL;Ano;Natureza da Receita;Fonte;Receita Local;Categ. Econ. Rec;DIC RCL
201811180111;2018;11180111;100;1111;1;IPTU
201811180111;2018;11180111;100;1112;1;IPTU
201811180113;2018;11180113;100;1113;1;IPTU
201811180113;2018;11180113;100;1114;1;IPTU
201811180111;2018;11180111;100;1115;1;IPTU
201811180113;2018;11180113;100;1116;1;IPTU
201811180113;2018;11180113;100;1117;1;IPTU
201811180111;2018;11180111;100;1121;1;IPTU
201811180111;2018;11180111;100;1122;1;IPTU
201811180113;2018;11180113;100;1123;1;IPTU
201811180113;2018;11180113;100;1124;1;IPTU
201811180111;2018;11180111;100;1125;1;IPTU
201811180113;2018;11180113;100;1126;1;IPTU
201811180113;2018;11180113;100;1127;1;IPTU
201811180141;2018;11180141;100;1211;1;ITBI
201811180231;2018;11180231;100;1311;1;ISS
201811180231;2018;11180231;100;1312;1;ISS
201811180233;2018;11180233;100;1313;1;ISS
201811180233;2018;11180233;100;1314;1;ISS
201811180231;2018;11180231;100;1315;1;ISS
201811180233;2018;11180233;100;1316;1;ISS
201811180233;2018;11180233;100;1317;1;ISS
201811180231;2018;11180231;100;1322;1;ISS
201811180233;2018;11180233;100;1324;1;ISS
201811180231;2018;11180231;100;1325;1;ISS
201811180233;2018;11180233;100;1326;1;ISS
201811180233;2018;11180233;100;1327;1;ISS
201811180231;2018;11180231;100;1331;1;ISS
201811180231;2018;11180231;100;1332;1;ISS
201811180231;2018;11180231;100;1333;1;ISS
201811180231;2018;11180231;100;1334;1;ISS
201811180231;2018;11180231;100;1335;1;ISS
201811180231;2018;11180231;100;1336;1;ISS
201811180231;2018;11180231;100;1341;1;ISS
201811180231;2018;11180231;100;1342;1;ISS
201811180231;2018;11180231;100;1343;1;ISS
201811180231;2018;11180231;100;1344;1;ISS
201811180231;2018;11180231;100;1345;1;ISS
201811180231;2018;11180231;100;1346;1;ISS
201811180231;2018;11180231;100;1351;1;ISS
201811180233;2018;11180233;100;1352;1;ISS
201811180233;2018;11180233;100;1353;1;ISS
201811180231;2018;11180231;100;1354;1;ISS
201811180233;2018;11180233;100;1355;1;ISS
201811180233;2018;11180233;100;1356;1;ISS
201811180231;2018;11180231;100;1361;1;ISS
201811180233;2018;11180233;100;1363;1;ISS
201811180231;2018;11180231;100;1364;1;ISS
201811180233;2018;11180233;100;1365;1;ISS
201811180233;2018;11180233;100;1366;1;ISS
201811180231;2018;11180231;100;1371;1;ISS
201811180231;2018;11180231;100;1374;1;ISS
201811180233;2018;11180233;100;1375;1;ISS
201811180231;2018;11180231;100;1381;1;ISS
201811180231;2018;11180231;100;1384;1;ISS
201811180233;2018;11180233;100;1385;1;ISS
201811180233;2018;11180233;100;1386;1;ISS
201811180253;2018;11180253;100;1446;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811130311;2018;11130311;100;1467;1;IRRF
201811130341;2018;11130341;100;1468;1;IRRF
201811220111;2018;11220111;100;2112;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220113;2018;11220113;100;2113;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220113;2018;11220113;100;2114;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220111;2018;11220111;100;2115;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220113;2018;11220113;100;2116;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220113;2018;11220113;100;2117;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220113;2018;11220113;100;2124;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220113;2018;11220113;100;2127;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220111;2018;11220111;100;2141;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220111;2018;11220111;100;2142;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220113;2018;11220113;100;2143;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220111;2018;11220111;100;2145;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811220113;2018;11220113;100;2146;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2211;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2221;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2222;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2223;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2224;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2225;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2226;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2227;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2231;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2232;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2233;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2234;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2235;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2236;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2237;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2241;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210111;2018;11210111;100;2242;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2243;1;Outros Impostos, Taxas e Contribuições de Melhoria
201811210113;2018;11210113;100;2244;1;Outros Impostos, Taxas e Contribuições de Melhoria
