"Posição","Nome","Localidade","2005","2007","2009","2011","2013","2015","2017","2019","2021","Unidade","Multiplicador"
"1","Índice de Desenvolvimento da Educação Básica",,,,,,,,,,,"",""
"1.1","Ensino fundamental",,,,,,,,,,,"",""
"1.1.1","Anos iniciais",,,,,,,,,,,"",""
"1.1.1.1","Pública","Abreu e Lima","3.1","3.6","3.6","3.6","3.9","4.3","4.5","5.0","4.7","",""
"1.1.1.1","Pública","Afogados da Ingazeira","3.2","3.4","3.7","4.5","5.0","5.4","5.5","6.1","5.6","",""
"1.1.1.1","Pública","Afrânio","3.3","3.3","4.1","4.3","4.6","4.6","4.6","5.1","5.0","",""
"1.1.1.1","Pública","Agrestina","2.8","3.0","3.1","3.2","3.7","4.2","4.4","5.0","4.9","",""
"1.1.1.1","Pública","Água Preta","2.7","2.6","2.9","3.3","3.2","4.4","4.6","4.8","4.7","",""
"1.1.1.1","Pública","Águas Belas","-","2.4","2.9","3.6","3.4","4.2","5.1","4.7","4.7","",""
"1.1.1.1","Pública","Alagoinha","2.6","2.6","3.3","4.1","4.4","4.0","4.8","4.5","-","",""
"1.1.1.1","Pública","Aliança","2.3","2.4","3.1","2.9","3.0","-","3.4","4.2","4.2","",""
"1.1.1.1","Pública","Altinho","-","3.0","3.4","4.0","4.1","4.1","4.8","5.1","5.1","",""
"1.1.1.1","Pública","Amaraji","2.8","3.4","3.7","3.8","3.6","4.0","4.5","4.1","4.6","",""
"1.1.1.1","Pública","Angelim","2.7","3.2","3.4","4.1","3.5","4.0","4.4","5.1","5.9","",""
"1.1.1.1","Pública","Araçoiaba","2.5","2.8","3.4","3.3","3.8","4.2","4.6","4.9","4.7","",""
"1.1.1.1","Pública","Araripina","2.7","2.8","4.1","4.1","4.1","4.2","4.3","4.9","4.9","",""
"1.1.1.1","Pública","Arcoverde","2.9","3.3","3.9","4.0","4.7","5.1","5.8","5.8","5.1","",""
"1.1.1.1","Pública","Barra de Guabiraba","2.5","2.7","3.3","3.4","3.8","4.8","6.4","6.3","7.1","",""
"1.1.1.1","Pública","Barreiros","2.7","2.8","3.3","3.5","3.4","3.8","4.4","3.8","4.9","",""
"1.1.1.1","Pública","Belém de Maria","3.1","3.4","3.7","3.5","3.9","4.4","4.9","4.9","4.9","",""
"1.1.1.1","Pública","Belém do São Francisco","2.6","3.2","2.9","4.2","4.0","4.7","4.8","5.1","4.7","",""
"1.1.1.1","Pública","Belo Jardim","3.4","3.2","3.0","3.4","4.3","4.5","4.3","4.7","4.1","",""
"1.1.1.1","Pública","Betânia","2.5","3.5","3.9","-","5.0","5.0","4.7","5.8","7.1","",""
"1.1.1.1","Pública","Bezerros","3.4","3.6","4.3","4.0","4.5","5.7","5.5","5.4","5.6","",""
"1.1.1.1","Pública","Bodocó","2.7","2.6","3.1","3.4","3.7","4.2","4.0","3.8","4.1","",""
"1.1.1.1","Pública","Bom Conselho","2.4","3.0","3.8","4.2","3.9","4.5","4.6","5.1","5.8","",""
"1.1.1.1","Pública","Bom Jardim","2.7","3.1","3.6","4.2","4.4","5.0","5.1","5.4","5.3","",""
"1.1.1.1","Pública","Bonito","2.5","2.8","2.8","4.3","4.5","6.2","7.2","7.1","5.9","",""
"1.1.1.1","Pública","Brejão","2.4","2.7","3.5","4.5","3.6","5.6","5.2","5.7","5.5","",""
"1.1.1.1","Pública","Brejinho","3.2","3.7","3.9","4.1","5.0","5.9","6.1","7.0","6.7","",""
"1.1.1.1","Pública","Brejo da Madre de Deus","2.8","2.9","3.2","3.9","3.9","4.4","4.5","4.4","4.3","",""
"1.1.1.1","Pública","Buenos Aires","2.5","2.9","2.9","-","4.0","4.1","4.9","4.7","5.0","",""
"1.1.1.1","Pública","Buíque","2.8","3.1","2.9","3.5","3.8","4.2","4.5","4.9","4.9","",""
"1.1.1.1","Pública","Cabo de Santo Agostinho","3.0","3.2","3.7","3.7","3.9","4.6","4.8","5.0","5.1","",""
"1.1.1.1","Pública","Cabrobó","2.8","3.1","3.9","4.8","4.8","5.1","5.1","5.1","4.9","",""
"1.1.1.1","Pública","Cachoeirinha","3.0","3.3","3.5","3.8","4.6","5.0","5.1","4.7","5.7","",""
"1.1.1.1","Pública","Caetés","2.1","3.7","3.7","3.8","2.9","5.1","4.9","5.2","5.0","",""
"1.1.1.1","Pública","Calçado","3.1","3.5","2.7","3.6","3.9","4.3","3.9","5.5","5.2","",""
"1.1.1.1","Pública","Calumbi","2.7","2.9","4.2","4.2","4.5","4.6","-","5.2","5.0","",""
"1.1.1.1","Pública","Camaragibe","3.2","3.2","3.7","3.9","3.9","4.7","5.0","5.1","5.1","",""
"1.1.1.1","Pública","Camocim de São Félix","2.7","3.1","3.5","3.5","4.5","5.7","4.6","5.2","5.3","",""
"1.1.1.1","Pública","Camutanga","3.2","3.3","3.4","3.4","3.8","4.1","4.7","5.2","4.4","",""
"1.1.1.1","Pública","Canhotinho","-","2.8","3.5","4.9","4.2","4.7","4.8","4.7","4.7","",""
"1.1.1.1","Pública","Capoeiras","2.7","3.2","3.1","3.9","2.6","5.0","5.0","5.7","5.2","",""
"1.1.1.1","Pública","Carnaíba","3.6","4.8","5.1","5.5","5.3","6.1","6.2","6.2","6.8","",""
"1.1.1.1","Pública","Carnaubeira da Penha","2.6","2.2","3.2","3.2","4.4","4.7","4.2","4.0","5.0","",""
"1.1.1.1","Pública","Carpina","3.5","3.1","4.1","3.7","4.0","4.7","4.7","5.2","5.2","",""
"1.1.1.1","Pública","Caruaru","3.5","3.6","3.9","4.3","4.2","4.5","5.2","5.5","5.4","",""
"1.1.1.1","Pública","Casinhas","3.2","3.9","3.3","3.6","4.2","4.5","5.2","6.8","-","",""
"1.1.1.1","Pública","Catende","3.0","3.1","3.7","3.5","3.9","4.7","4.1","4.2","4.6","",""
