UF,código do município,Município,descrição,data,Valor
RO,110020,Ro-Porto Velho,Estoque,2020-01-01,85232.0
RO,110020,Ro-Porto Velho,Admissões,2020-01-01,2155.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-01-01,2622.0
RO,110020,Ro-Porto Velho,Saldos,2020-01-01,-467.0
RO,110020,Ro-Porto Velho,Estoque,2020-02-01,85232.0
RO,110020,Ro-Porto Velho,Admissões,2020-02-01,2930.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-02-01,2702.0
RO,110020,Ro-Porto Velho,Saldos,2020-02-01,228.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-02-01,0.26
RO,110020,Ro-Porto Velho,Estoque,2020-03-01,84920.0
RO,110020,Ro-Porto Velho,Admissões,2020-03-01,2411.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-03-01,2723.0
RO,110020,Ro-Porto Velho,Saldos,2020-03-01,-312.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-03-01,-0.41
RO,110020,Ro-Porto Velho,Estoque,2020-04-01,83125.0
RO,110020,Ro-Porto Velho,Admissões,2020-04-01,969.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-04-01,2764.0
RO,110020,Ro-Porto Velho,Saldos,2020-04-01,-1795.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-04-01,-2.25
RO,110020,Ro-Porto Velho,Estoque,2020-05-01,82729.0
RO,110020,Ro-Porto Velho,Admissões,2020-05-01,1543.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-05-01,1939.0
RO,110020,Ro-Porto Velho,Saldos,2020-05-01,-396.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-05-01,-0.52
RO,110020,Ro-Porto Velho,Estoque,2020-06-01,82842.0
RO,110020,Ro-Porto Velho,Admissões,2020-06-01,1885.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-06-01,1772.0
RO,110020,Ro-Porto Velho,Saldos,2020-06-01,113.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-06-01,0.16
RO,110020,Ro-Porto Velho,Estoque,2020-07-01,83152.0
RO,110020,Ro-Porto Velho,Admissões,2020-07-01,2407.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-07-01,2097.0
RO,110020,Ro-Porto Velho,Saldos,2020-07-01,310.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-07-01,0.42
RO,110020,Ro-Porto Velho,Estoque,2020-08-01,83613.0
RO,110020,Ro-Porto Velho,Admissões,2020-08-01,2568.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-08-01,2107.0
RO,110020,Ro-Porto Velho,Saldos,2020-08-01,461.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-08-01,0.46
RO,110020,Ro-Porto Velho,Estoque,2020-09-01,84140.0
RO,110020,Ro-Porto Velho,Admissões,2020-09-01,2758.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-09-01,2231.0
RO,110020,Ro-Porto Velho,Saldos,2020-09-01,527.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-09-01,0.67
RO,110020,Ro-Porto Velho,Estoque,2020-10-01,84629.0
RO,110020,Ro-Porto Velho,Admissões,2020-10-01,2798.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-10-01,2309.0
RO,110020,Ro-Porto Velho,Saldos,2020-10-01,489.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-10-01,0.6
RO,110020,Ro-Porto Velho,Estoque,2020-11-01,84946.0
RO,110020,Ro-Porto Velho,Admissões,2020-11-01,2802.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-11-01,2485.0
RO,110020,Ro-Porto Velho,Saldos,2020-11-01,317.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-11-01,0.4
RO,110020,Ro-Porto Velho,Estoque,2020-12-01,84654.0
RO,110020,Ro-Porto Velho,Admissões,2020-12-01,2031.0
RO,110020,Ro-Porto Velho,Desligamentos,2020-12-01,2323.0
RO,110020,Ro-Porto Velho,Saldos,2020-12-01,-292.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2020-12-01,-0.39
RO,110020,Ro-Porto Velho,Estoque,2021-01-01,84880.0
RO,110020,Ro-Porto Velho,Admissões,2021-01-01,2571.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-01-01,2345.0
RO,110020,Ro-Porto Velho,Saldos,2021-01-01,226.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-01-01,0.27
RO,110020,Ro-Porto Velho,Estoque,2021-02-01,85113.0
RO,110020,Ro-Porto Velho,Admissões,2021-02-01,2666.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-02-01,2433.0
RO,110020,Ro-Porto Velho,Saldos,2021-02-01,233.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-02-01,0.28
RO,110020,Ro-Porto Velho,Estoque,2021-03-01,85164.0
RO,110020,Ro-Porto Velho,Admissões,2021-03-01,2531.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-03-01,2480.0
RO,110020,Ro-Porto Velho,Saldos,2021-03-01,51.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-03-01,0.05
RO,110020,Ro-Porto Velho,Estoque,2021-04-01,85424.0
RO,110020,Ro-Porto Velho,Admissões,2021-04-01,2531.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-04-01,2271.0
RO,110020,Ro-Porto Velho,Saldos,2021-04-01,260.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-04-01,0.31
RO,110020,Ro-Porto Velho,Estoque,2021-05-01,85991.0
RO,110020,Ro-Porto Velho,Admissões,2021-05-01,3189.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-05-01,2622.0
RO,110020,Ro-Porto Velho,Saldos,2021-05-01,567.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-05-01,0.68
RO,110020,Ro-Porto Velho,Estoque,2021-06-01,87138.0
RO,110020,Ro-Porto Velho,Admissões,2021-06-01,3707.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-06-01,2560.0
RO,110020,Ro-Porto Velho,Saldos,2021-06-01,1147.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-06-01,1.4
RO,110020,Ro-Porto Velho,Estoque,2021-07-01,87920.0
RO,110020,Ro-Porto Velho,Admissões,2021-07-01,3641.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-07-01,2859.0
RO,110020,Ro-Porto Velho,Saldos,2021-07-01,782.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-07-01,0.93
RO,110020,Ro-Porto Velho,Estoque,2021-08-01,88825.0
RO,110020,Ro-Porto Velho,Admissões,2021-08-01,3936.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-08-01,3031.0
RO,110020,Ro-Porto Velho,Saldos,2021-08-01,905.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-08-01,1.06
RO,110020,Ro-Porto Velho,Estoque,2021-09-01,89187.0
RO,110020,Ro-Porto Velho,Admissões,2021-09-01,3649.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-09-01,3287.0
RO,110020,Ro-Porto Velho,Saldos,2021-09-01,362.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-09-01,0.43
RO,110020,Ro-Porto Velho,Estoque,2021-10-01,89808.0
RO,110020,Ro-Porto Velho,Admissões,2021-10-01,3763.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-10-01,3142.0
RO,110020,Ro-Porto Velho,Saldos,2021-10-01,621.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-10-01,0.75
RO,110020,Ro-Porto Velho,Estoque,2021-11-01,90732.0
RO,110020,Ro-Porto Velho,Admissões,2021-11-01,4025.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-11-01,3101.0
RO,110020,Ro-Porto Velho,Saldos,2021-11-01,924.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-11-01,1.08
RO,110020,Ro-Porto Velho,Estoque,2021-12-01,90718.0
RO,110020,Ro-Porto Velho,Admissões,2021-12-01,3595.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-12-01,3609.0
RO,110020,Ro-Porto Velho,Saldos,2021-12-01,-14.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-12-01,-0.02
RO,110020,Ro-Porto Velho,Estoque,2022-01-01,90749.0
RO,110020,Ro-Porto Velho,Admissões,2022-01-01,3437.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-01-01,3406.0
RO,110020,Ro-Porto Velho,Saldos,2022-01-01,31.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-01-01,0.03
RO,110020,Ro-Porto Velho,Estoque,2022-02-01,91554.0
RO,110020,Ro-Porto Velho,Admissões,2022-02-01,4343.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-02-01,3538.0
RO,110020,Ro-Porto Velho,Saldos,2022-02-01,805.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-02-01,0.94
RO,110020,Ro-Porto Velho,Estoque,2022-03-01,92014.0
RO,110020,Ro-Porto Velho,Admissões,2022-03-01,4217.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-03-01,3757.0
RO,110020,Ro-Porto Velho,Saldos,2022-03-01,460.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-03-01,0.54
RO,110020,Ro-Porto Velho,Estoque,2022-04-01,92384.0
RO,110020,Ro-Porto Velho,Admissões,2022-04-01,3688.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-04-01,3318.0
RO,110020,Ro-Porto Velho,Saldos,2022-04-01,370.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-04-01,0.44
RO,110020,Ro-Porto Velho,Estoque,2022-05-01,92769.0
RO,110020,Ro-Porto Velho,Admissões,2022-05-01,3910.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-05-01,3525.0
RO,110020,Ro-Porto Velho,Saldos,2022-05-01,385.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-05-01,0.43
RO,110020,Ro-Porto Velho,Estoque,2022-06-01,93503.0
RO,110020,Ro-Porto Velho,Admissões,2022-06-01,4062.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-06-01,3328.0
RO,110020,Ro-Porto Velho,Saldos,2022-06-01,734.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-06-01,0.85
RO,110020,Ro-Porto Velho,Estoque,2022-07-01,93861.0
RO,110020,Ro-Porto Velho,Admissões,2022-07-01,4100.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-07-01,3742.0
RO,110020,Ro-Porto Velho,Saldos,2022-07-01,358.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-07-01,0.41
RO,110020,Ro-Porto Velho,Estoque,2022-08-01,94432.0
RO,110020,Ro-Porto Velho,Admissões,2022-08-01,4384.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-08-01,3813.0
RO,110020,Ro-Porto Velho,Saldos,2022-08-01,571.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-08-01,0.64
RO,110020,Ro-Porto Velho,Estoque,2022-09-01,94880.0
RO,110020,Ro-Porto Velho,Admissões,2022-09-01,4017.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-09-01,3569.0
RO,110020,Ro-Porto Velho,Saldos,2022-09-01,448.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-09-01,0.51
RO,110020,Ro-Porto Velho,Estoque,2022-10-01,95007.0
RO,110020,Ro-Porto Velho,Admissões,2022-10-01,3748.0
